Schema File Path,Schema Type,Purpose,Duplication Status,Notes,Recommended Action
schemas/tcms-envelope.schema.json,Envelope (Meta),Defines envelope meta-schema requiring type and schema fields for TCMS documents,Unique - Core envelope definition,"Core meta-schema for versioned envelope format. Referenced by all v1 schemas. Defines document types: test_case, test_execution, test_verification, test_result, container_config, test_results_container",Keep - Essential for envelope system
schemas/tcms/test-case.schema.v1.json,Versioned (Envelope),Test case definition schema with envelope support,Unique - Current versioned schema,"Complete test case schema with envelope. Includes prerequisites, hooks, BDD initial conditions, test sequences with steps, hydration_vars. Uses draft-07. References ../tcms-envelope.schema.json",Keep - Current standard
schemas/tcms/test-execution.schema.v1.json,Versioned (Envelope),Test execution log entry schema with envelope support,Unique - Current versioned schema,"Execution log entry for individual test steps. Includes test_sequence, step, command, exit_code, output, timestamp, hook_type, verification flags. Uses draft-07. References envelope",Keep - Current standard
schemas/tcms/test-verification.schema.v1.json,Versioned (Envelope),Test case verification result schema with envelope support,Unique - Current versioned schema,"Verification results with envelope. Includes test_case_id, sequences with step results (Pass/Fail/NotExecuted), total/passed/failed/not_executed counts, overall_pass. Uses draft-07. Has optional requirement/item/tc fields",Keep - Current standard
schemas/tcms/test-result.schema.v1.json,Versioned (Envelope),Test verification output schema with envelope support,Unique - Current versioned schema,"Similar to test-verification.schema.v1.json. Test result schema with envelope. Includes test_case_id, sequences, step counts, overall_pass. Uses draft-07. Has optional requirement/item/tc fields",Keep - Current standard
schemas/tcms/test-results-container.schema.v1.json,Versioned (Envelope),Test case results container schema with envelope support,Unique - Current versioned schema,"Container for multiple test results. Includes title, project, test_date, test_results array, metadata (environment, platform, executor, execution metrics). Uses draft-07. Full envelope support",Keep - Current standard
schemas/tcms/container-config.schema.v1.json,Versioned (Envelope),Container format configuration schema with envelope support,Unique - Current versioned schema,"Configuration for wrapping test results with metadata. Includes title, project, optional environment/platform/executor. Uses draft-07. Full envelope support with examples",Keep - Current standard
schemas/tcms/schemas/verification_schema.json,Legacy (Non-envelope),Legacy test case verification result schema,DUPLICATE of schemas/tcms/test-verification.schema.v1.json,"Legacy verification schema without envelope. Uses draft-07. Same structure as v1 but lacks type/schema envelope fields. Has optional requirement/item/tc at top level only (not on sequences/steps)",Deprecate - Use test-verification.schema.v1.json
schemas/tcms/schemas/verification-schema.json,Legacy (Non-envelope),Legacy test verification output schema - simplified version,DUPLICATE of schemas/tcms/test-verification.schema.v1.json,"Legacy verification schema without envelope. Similar to verification_schema.json but with simplified structure. Uses draft-07. No requirement/item/tc fields at all. Simpler Fail structure (missing expected/actual fields)",Deprecate - Use test-verification.schema.v1.json
schemas/tcms/test_results/container_schema.json,Legacy (Non-envelope),Legacy test results container schema - minimal version,POTENTIAL DUPLICATE of schemas/tcms/test-results-container.schema.v1.json,"Legacy container without envelope. Has title, project, test_date, test_results, metadata. Uses draft-07. Less detailed than v1 (test_results items are loosely typed as 'object', metadata requires environment/platform/executor but v1 requires execution_duration/counts)",Consider deprecating - Use test-results-container.schema.v1.json
schemas/tcms/testcase_results_container/schema.json,Legacy (Non-envelope),Legacy test results container schema - expanded version,POTENTIAL DUPLICATE of schemas/tcms/test-results-container.schema.v1.json,"Legacy container without envelope. More detailed than test_results/container_schema.json. Has complex definitions for TestStepExecution, expectedOnlyPair, passFailResult. Includes requirement/item/tc at test result level. Uses draft-07. Metadata same as test_results version",Consider deprecating - Use test-results-container.schema.v1.json
schemas/tcms/container/schema.json,Legacy (Non-envelope),Minimal legacy container schema,LEGACY - Superseded by container-config and test-results-container schemas,"Very minimal schema with only date, product, description fields. Uses draft-04. Appears to be an early/incomplete container format. Does not match current container concepts",Deprecate - Too minimal to be useful
schemas/test-case.schema.json,Legacy (Non-envelope),Legacy test case schema with optional envelope support,Legacy version of schemas/tcms/test-case.schema.v1.json,"Similar to v1 but uses draft-04. Has optional type/schema fields for envelope support but not required. Same comprehensive structure with prerequisites, hooks, BDD initial conditions, test sequences. Nearly identical to v1 but older JSON schema version",Consider migration path - Prefer test-case.schema.v1.json
schemas/container_config.schema.json,Legacy (Non-envelope),Legacy container format configuration with optional envelope support,Legacy version of schemas/tcms/container-config.schema.v1.json,"Similar to v1 but uses draft-07. Has optional type/schema fields for envelope support. Same structure with title, project, environment, platform, executor. Includes examples. Main difference: envelope fields optional vs required",Consider migration path - Prefer container-config.schema.v1.json
schemas/execution-log.schema.json,Legacy (Non-envelope),Legacy test execution log entry with optional envelope support,Legacy version of schemas/tcms/test-execution.schema.v1.json,"Similar to v1 but uses draft-07. Has optional type/schema fields for envelope support. Same structure with test_sequence, step, command, exit_code, output, timestamp, hook_type, verification flags. Additional note about manual steps in output description",Consider migration path - Prefer test-execution.schema.v1.json
schemas/verification-output.schema.json,Legacy (Non-envelope),Legacy test verification output schema with optional envelope support,Legacy version of schemas/tcms/test-result.schema.v1.json,"Similar to test-result.schema.v1.json but with optional envelope fields. Uses draft-07. Has test_case_id, sequences, step results (Pass/Fail/NotExecuted), counts, overall_pass. Optional requirement/item/tc fields. Externally tagged enum for step results",Consider migration path - Prefer test-result.schema.v1.json
schemas/verification-result.schema.json,Legacy (Non-envelope),Legacy test case verification result with optional envelope support,Legacy version of schemas/tcms/test-verification.schema.v1.json,"Similar to test-verification.schema.v1.json but with optional envelope fields. Uses draft-07. Has test_case_id, sequences with step results, counts, overall_pass. Optional requirement/item/tc at multiple levels. Externally tagged enum for step results",Consider migration path - Prefer test-verification.schema.v1.json
schemas/tcms/verification_methods/test/schema.json,Legacy (Non-envelope),Verification method schema for test-based verification,Unique - Part of verification methods collection,"Schema for test verification method type. Uses draft-04. Includes requirement, item, tc, test_sequences with steps. Simpler than main test-case schema. Part of verification methods framework",Keep - Part of verification methods system
schemas/tcms/verification_methods/analysis/schema.json,Legacy (Non-envelope),Verification method schema for analysis-based verification,Unique - Part of verification methods collection,"Schema for analysis verification method. Uses draft-04. Includes calculations, models, acceptance_criteria. For analytical verification approaches",Keep - Part of verification methods system
schemas/tcms/verification_methods/demonstration/schema.json,Legacy (Non-envelope),Verification method schema for demonstration-based verification,Unique - Part of verification methods collection,"Schema for demonstration verification method. Uses draft-04. Includes procedure, observations, acceptance_criteria. For operational demonstrations",Keep - Part of verification methods system
schemas/tcms/verification_methods/inspection/schema.json,Legacy (Non-envelope),Verification method schema for inspection-based verification,Unique - Part of verification methods collection,"Schema for inspection verification method. Uses draft-04. Includes inspection_method, checklist, acceptance_criteria. For inspection/review verification",Keep - Part of verification methods system
schemas/tcms/verification_methods/common_criteria/schema.json,Legacy (Non-envelope),Verification method schema for Common Criteria security evaluation,Unique - Part of verification methods collection,"Schema for Common Criteria evaluation. Uses draft-04. Comprehensive security evaluation schema with EAL levels, protection profiles, SFRs, SARs, TOE security functions, test coverage, vulnerability assessment, evidence documents. For high-security systems",Keep - Part of verification methods system
